gene,TPM
ENSG00000000003.16,0.487826
ENSG00000000005.6,0.0
ENSG00000000419.14,43.577093
ENSG00000000457.14,7.030805
ENSG00000000460.17,0.686615
ENSG00000000938.13,320.25775
ENSG00000000971.17,0.8815280000000001
ENSG00000001036.14,14.28869
ENSG00000001084.13,7.552378
ENSG00000001167.15,6.7564850000000005
ENSG00000001460.18,0.705535
ENSG00000001461.19,9.448887
ENSG00000001497.18,7.689051
ENSG00000001561.7,2.32045
ENSG00000001617.12,0.0
ENSG00000001626.18,0.0
ENSG00000001629.10,4.746759000000001
ENSG00000001630.18,3.144782
ENSG00000001631.17,9.054579
ENSG00000002016.18,6.957744
ENSG00000002330.14,21.67292
ENSG00000002549.13,36.859396000000004
ENSG00000002586.20,240.479794
ENSG00000002587.10,1.556402
ENSG00000002726.21,1.898358
ENSG00000002745.13,0.472407
ENSG00000002746.15,0.0
ENSG00000002822.16,52.280625
ENSG00000002834.19,141.881442
ENSG00000002919.15,36.451974
ENSG00000002933.9,156.628519
ENSG00000003056.8,115.58136
ENSG00000003096.15,0.382362
ENSG00000003137.9,0.0
ENSG00000003147.19,1.128418
ENSG00000003249.15,4.656445
ENSG00000003393.16,3.69658
ENSG00000003400.16,13.365247
ENSG00000003402.21,118.872209
ENSG00000003436.16,0.801875
ENSG00000003509.16,7.083922
ENSG00000003756.17,109.69877
ENSG00000003987.14,0.6559900000000001
ENSG00000003989.18,0.0
ENSG00000004059.11,162.02761900000002
ENSG00000004139.14,5.511979
ENSG00000004142.12,30.043052
ENSG00000004399.13,22.309369
ENSG00000004455.18,47.337063
ENSG00000004468.13,5.756276
ENSG00000004478.8,14.619608
ENSG00000004487.18,20.510513
ENSG00000004534.15,41.097575
ENSG00000004660.15,8.373939
ENSG00000004700.16,14.172302
ENSG00000004766.17,6.7239510000000005
ENSG00000004776.13,0.0
ENSG00000004777.19,3.888433
ENSG00000004779.10,49.965103
ENSG00000004799.8,10.677126
ENSG00000004809.14,0.719823
ENSG00000004838.14,3.954863
ENSG00000004846.17,0.122516
ENSG00000004848.8,0.0
ENSG00000004864.14,6.792021999999999
ENSG00000004866.22,3.522993
ENSG00000004897.12,17.069508
ENSG00000004939.16,323.240206
ENSG00000004948.16,0.0
ENSG00000004961.15,9.02145
ENSG00000004975.12,9.94341
ENSG00000005001.10,1.544752
ENSG00000005007.14,33.481235
ENSG00000005020.13,30.501659
ENSG00000005022.6,166.027057
ENSG00000005059.16,34.862852000000004
ENSG00000005073.6,0.0
ENSG00000005075.16,94.814957
ENSG00000005100.13,2.1128400000000003
ENSG00000005102.14,2.68995
ENSG00000005108.17,0.0
ENSG00000005156.12,2.539517
ENSG00000005175.10,17.684577
ENSG00000005187.12,9.7879
ENSG00000005189.20,0.331907
ENSG00000005194.15,19.934803
ENSG00000005206.17,26.18534
ENSG00000005238.20,54.956564
ENSG00000005243.10,2.184406
ENSG00000005249.14,14.815481
ENSG00000005302.19,51.563818
ENSG00000005339.15,16.009482
ENSG00000005379.17,10.563553
ENSG00000005381.9,6.250692
ENSG00000005421.9,0.0
ENSG00000005436.14,7.6383280000000005
ENSG00000005448.17,8.653291
ENSG00000005469.12,3.457286
ENSG00000005471.19,0.96115
ENSG00000005483.23,22.161583999999998
ENSG00000005486.17,40.942493999999996
ENSG00000005513.11,0.8892760000000001
ENSG00000005700.15,5.016232
ENSG00000005801.18,8.598192
ENSG00000005810.20,27.570041
ENSG00000005812.11,25.144750000000002
ENSG00000005844.19,176.75293299999998
ENSG00000005882.12,21.314269
ENSG00000005884.18,2.4317
ENSG00000005889.16,3.2917389999999997
ENSG00000005893.17,61.463356
ENSG00000005961.19,12.832157
ENSG00000005981.13,0.0
ENSG00000006007.12,60.503143
ENSG00000006015.18,53.63445599999999
ENSG00000006016.12,2.511382
ENSG00000006025.13,10.576518
ENSG00000006042.12,0.549183
ENSG00000006047.13,0.0
ENSG00000006059.4,0.0
ENSG00000006062.18,14.583229
ENSG00000006071.16,0.069571
ENSG00000006116.4,0.0
ENSG00000006118.15,0.0
ENSG00000006125.18,39.251206
ENSG00000006128.12,0.0
ENSG00000006194.12,16.754999
ENSG00000006210.7,0.028365
ENSG00000006282.22,6.534403999999999
ENSG00000006283.18,0.0
ENSG00000006327.14,4.544842
ENSG00000006377.11,0.0
ENSG00000006432.16,0.318119
ENSG00000006451.8,14.400358
ENSG00000006453.14,0.506338
ENSG00000006459.11,7.23489
ENSG00000006468.15,0.0
ENSG00000006530.18,12.346046999999999
ENSG00000006534.17,24.721125999999998
ENSG00000006555.11,3.5982730000000003
ENSG00000006576.17,6.710609000000001
ENSG00000006606.9,0.0
ENSG00000006607.14,2.3047180000000003
ENSG00000006611.17,0.0
ENSG00000006625.18,10.214328
ENSG00000006634.8,4.794673
ENSG00000006638.13,2.4718280000000004
ENSG00000006652.15,50.442318
ENSG00000006659.13,1.174064
ENSG00000006695.12,3.954167
ENSG00000006704.11,0.25585
ENSG00000006712.15,22.307274
ENSG00000006715.16,15.326141999999999
ENSG00000006740.18,0.380614
ENSG00000006744.19,16.632928
ENSG00000006747.15,0.301702
ENSG00000006756.16,4.350408
ENSG00000006757.12,2.692647
ENSG00000006788.14,0.0
ENSG00000006831.10,17.58053
ENSG00000006837.12,0.478897
