gene,TPM
ENSG00000000003.16,0.230848
ENSG00000000005.6,0.0
ENSG00000000419.14,13.597031000000001
ENSG00000000457.14,2.980858
ENSG00000000460.17,6.374829
ENSG00000000938.13,52.647131
ENSG00000000971.17,2.208445
ENSG00000001036.14,1.390692
ENSG00000001084.13,18.648934
ENSG00000001167.15,7.127341
ENSG00000001460.18,1.043628
ENSG00000001461.19,3.560513
ENSG00000001497.18,2.48366
ENSG00000001561.7,2.860527
ENSG00000001617.12,0.0
ENSG00000001626.18,0.0
ENSG00000001629.10,41.273967999999996
ENSG00000001630.18,0.0
ENSG00000001631.17,12.61955
ENSG00000002016.18,1.532884
ENSG00000002330.14,1.142035
ENSG00000002549.13,5.3208400000000005
ENSG00000002586.20,50.466181
ENSG00000002587.10,0.593494
ENSG00000002726.21,0.0
ENSG00000002745.13,0.165716
ENSG00000002746.15,0.03368
ENSG00000002822.16,3.399659
ENSG00000002834.19,30.380363
ENSG00000002919.15,12.788329
ENSG00000002933.9,2.772517
ENSG00000003056.8,41.053525
ENSG00000003096.15,0.0
ENSG00000003137.9,0.0
ENSG00000003147.19,1.223614
ENSG00000003249.15,0.318892
ENSG00000003393.16,4.517881
ENSG00000003400.16,7.413878
ENSG00000003402.21,144.353276
ENSG00000003436.16,7.881089
ENSG00000003509.16,4.615755999999999
ENSG00000003756.17,52.678569
ENSG00000003987.14,0.0
ENSG00000003989.18,0.0
ENSG00000004059.11,32.924223
ENSG00000004139.14,0.948015
ENSG00000004142.12,4.566868
ENSG00000004399.13,2.4227339999999997
ENSG00000004455.18,16.50423
ENSG00000004468.13,2.950827
ENSG00000004478.8,1.784199
ENSG00000004487.18,5.5917520000000005
ENSG00000004534.15,18.594875000000002
ENSG00000004660.15,1.1432849999999999
ENSG00000004700.16,7.900356
ENSG00000004766.17,19.09401
ENSG00000004776.13,0.0
ENSG00000004777.19,0.362228
ENSG00000004779.10,5.945287
ENSG00000004799.8,0.882336
ENSG00000004809.14,1.358288
ENSG00000004838.14,0.0
ENSG00000004846.17,0.181785
ENSG00000004848.8,0.0
ENSG00000004864.14,4.381901
ENSG00000004866.22,5.801567
ENSG00000004897.12,83.486384
ENSG00000004939.16,134.436927
ENSG00000004948.16,0.0
ENSG00000004961.15,2.288962
ENSG00000004975.12,1.7786870000000001
ENSG00000005001.10,0.432984
ENSG00000005007.14,4.406963
ENSG00000005020.13,31.679505
ENSG00000005022.6,15.234007
ENSG00000005059.16,8.153433
ENSG00000005073.6,0.0
ENSG00000005075.16,6.447884
ENSG00000005100.13,2.179483
ENSG00000005102.14,0.214588
ENSG00000005108.17,0.47082999999999997
ENSG00000005156.12,2.007199
ENSG00000005175.10,10.955443
ENSG00000005187.12,1.181403
ENSG00000005189.20,1.914833
ENSG00000005194.15,2.638389
ENSG00000005206.17,1.377813
ENSG00000005238.20,9.389116
ENSG00000005243.10,0.469922
ENSG00000005249.14,11.981015
ENSG00000005302.19,13.784941
ENSG00000005339.15,25.660941
ENSG00000005379.17,0.710279
ENSG00000005381.9,0.09016
ENSG00000005421.9,0.080434
ENSG00000005436.14,2.9189979999999998
ENSG00000005448.17,2.115796
ENSG00000005469.12,2.9956199999999997
ENSG00000005471.19,0.407736
ENSG00000005483.23,52.697152
ENSG00000005486.17,3.956216
ENSG00000005513.11,0.061947
ENSG00000005700.15,4.413895999999999
ENSG00000005801.18,3.478405
ENSG00000005810.20,33.776169
