gene,TPM
ENSG00000000003.16,0.068576
ENSG00000000005.6,0.0
ENSG00000000419.14,21.140504
ENSG00000000457.14,3.717787
ENSG00000000460.17,0.464592
ENSG00000000938.13,229.985564
ENSG00000000971.17,0.754999
ENSG00000001036.14,2.234893
ENSG00000001084.13,1.814673
ENSG00000001167.15,3.058258
ENSG00000001460.18,0.197259
ENSG00000001461.19,2.958234
ENSG00000001497.18,5.706332
ENSG00000001561.7,0.696318
ENSG00000001617.12,0.035343
ENSG00000001626.18,0.0
ENSG00000001629.10,1.240797
ENSG00000001630.18,1.153641
ENSG00000001631.17,2.052664
ENSG00000002016.18,1.611828
ENSG00000002330.14,10.418987
ENSG00000002549.13,10.066196
ENSG00000002586.20,69.66722
ENSG00000002587.10,0.030769
ENSG00000002726.21,0.959676
ENSG00000002745.13,0.101912
ENSG00000002746.15,0.0
ENSG00000002822.16,10.449332
ENSG00000002834.19,77.665752
ENSG00000002919.15,21.66862
ENSG00000002933.9,6.707139
ENSG00000003056.8,41.196253999999996
ENSG00000003096.15,0.0
ENSG00000003137.9,0.0
ENSG00000003147.19,1.754343
ENSG00000003249.15,1.8386399999999998
ENSG00000003393.16,1.510634
ENSG00000003400.16,6.251532
ENSG00000003402.21,112.238873
ENSG00000003436.16,0.216917
ENSG00000003509.16,2.290953
ENSG00000003756.17,63.527079
ENSG00000003987.14,0.10583000000000001
ENSG00000003989.18,0.014533
ENSG00000004059.11,94.891312
ENSG00000004139.14,2.290319
ENSG00000004142.12,11.208882
ENSG00000004399.13,9.615876
ENSG00000004455.18,13.245039
ENSG00000004468.13,2.146985
ENSG00000004478.8,7.032634
ENSG00000004487.18,6.217047
ENSG00000004534.15,22.608496000000002
ENSG00000004660.15,7.457141
ENSG00000004700.16,4.676139
ENSG00000004766.17,2.237544
ENSG00000004776.13,0.0
ENSG00000004777.19,2.666734
ENSG00000004779.10,15.849106
ENSG00000004799.8,1.159084
ENSG00000004809.14,0.060204
ENSG00000004838.14,0.40607400000000005
ENSG00000004846.17,0.201546
ENSG00000004848.8,0.0
ENSG00000004864.14,1.013307
ENSG00000004866.22,1.5103360000000001
ENSG00000004897.12,2.435708
ENSG00000004939.16,17.333998
ENSG00000004948.16,0.0
ENSG00000004961.15,5.080458
ENSG00000004975.12,2.7524050000000004
ENSG00000005001.10,0.0
ENSG00000005007.14,21.553489
ENSG00000005020.13,20.79602
ENSG00000005022.6,39.506733
ENSG00000005059.16,7.545091
ENSG00000005073.6,0.0
ENSG00000005075.16,28.171323
ENSG00000005100.13,0.799249
ENSG00000005102.14,0.343679
ENSG00000005108.17,0.010235
ENSG00000005156.12,3.413715
ENSG00000005175.10,7.8476289999999995
ENSG00000005187.12,1.3487749999999998
ENSG00000005189.20,0.549966
ENSG00000005194.15,10.500996
ENSG00000005206.17,8.612996
ENSG00000005238.20,21.488069
ENSG00000005243.10,1.1125340000000001
ENSG00000005249.14,2.944468
ENSG00000005302.19,39.516541
ENSG00000005339.15,12.164211
ENSG00000005379.17,3.63939
ENSG00000005381.9,1.990033
ENSG00000005421.9,0.0
ENSG00000005436.14,1.358128
ENSG00000005448.17,3.068513
ENSG00000005469.12,0.9891979999999999
ENSG00000005471.19,0.294644
