gene,TPM
ENSG00000000003.16,0.0
ENSG00000000005.6,0.0
ENSG00000000419.14,57.584942999999996
ENSG00000000457.14,14.334150999999999
ENSG00000000460.17,13.967528000000001
ENSG00000000938.13,124.136905
ENSG00000000971.17,2.088578
ENSG00000001036.14,7.426063
ENSG00000001084.13,20.981863
ENSG00000001167.15,17.507055
ENSG00000001460.18,9.547249
ENSG00000001461.19,37.427274
ENSG00000001497.18,6.3326899999999995
ENSG00000001561.7,7.061849
ENSG00000001617.12,0.0
ENSG00000001626.18,0.0
ENSG00000001629.10,36.408448
ENSG00000001630.18,1.741294
ENSG00000001631.17,34.287565
ENSG00000002016.18,14.839815
ENSG00000002330.14,1.559283
ENSG00000002549.13,32.965492000000005
ENSG00000002586.20,103.194973
ENSG00000002587.10,0.690711
ENSG00000002726.21,0.427124
ENSG00000002745.13,0.810894
ENSG00000002746.15,0.051507
ENSG00000002822.16,22.879926
ENSG00000002834.19,75.298605
ENSG00000002919.15,33.861688
ENSG00000002933.9,0.602399
ENSG00000003056.8,83.246004
ENSG00000003096.15,0.0
ENSG00000003137.9,0.0
ENSG00000003147.19,0.808698
ENSG00000003249.15,2.084707
ENSG00000003393.16,16.397439
ENSG00000003400.16,41.494234999999996
ENSG00000003402.21,256.368969
ENSG00000003436.16,6.501488
ENSG00000003509.16,11.29702
ENSG00000003756.17,308.306249
ENSG00000003987.14,3.650537
ENSG00000003989.18,0.064324
ENSG00000004059.11,76.717818
ENSG00000004139.14,6.766912
ENSG00000004142.12,10.392865
ENSG00000004399.13,7.594353
ENSG00000004455.18,32.180379
ENSG00000004468.13,26.999705
ENSG00000004478.8,19.855058
ENSG00000004487.18,24.76079
ENSG00000004534.15,20.029284
ENSG00000004660.15,4.5271799999999995
ENSG00000004700.16,21.793175
ENSG00000004766.17,47.206338
ENSG00000004776.13,3.4176349999999998
ENSG00000004777.19,3.187497
ENSG00000004779.10,38.083088
ENSG00000004799.8,11.490171
ENSG00000004809.14,0.826217
ENSG00000004838.14,4.7650369999999995
ENSG00000004846.17,0.757776
ENSG00000004848.8,0.177967
ENSG00000004864.14,4.049894
ENSG00000004866.22,1.62889
ENSG00000004897.12,49.778583
ENSG00000004939.16,17.105451
ENSG00000004948.16,0.0
ENSG00000004961.15,4.107373
ENSG00000004975.12,17.018995
ENSG00000005001.10,0.0
ENSG00000005007.14,12.468326000000001
ENSG00000005020.13,32.573294
ENSG00000005022.6,84.968555
ENSG00000005059.16,87.199573
ENSG00000005073.6,0.0
ENSG00000005075.16,33.480331
ENSG00000005100.13,2.401606
ENSG00000005102.14,0.776266
ENSG00000005108.17,0.090333
ENSG00000005156.12,21.006014
ENSG00000005175.10,28.679323
ENSG00000005187.12,6.204417
ENSG00000005189.20,0.0
ENSG00000005194.15,23.696418
ENSG00000005206.17,21.312136
ENSG00000005238.20,16.644379
ENSG00000005243.10,0.950671
ENSG00000005249.14,7.666969999999999
ENSG00000005302.19,63.702356
ENSG00000005339.15,51.227817
ENSG00000005379.17,2.520111
ENSG00000005381.9,0.158566
ENSG00000005421.9,0.21955
ENSG00000005436.14,13.092551
ENSG00000005448.17,6.875512
ENSG00000005469.12,17.952021000000002
ENSG00000005471.19,5.888568
ENSG00000005483.23,113.93377100000001
ENSG00000005486.17,21.740432
ENSG00000005513.11,0.500887
ENSG00000005700.15,10.494478
ENSG00000005801.18,27.760437000000003
ENSG00000005810.20,72.169086
ENSG00000005812.11,52.068878000000005
ENSG00000005844.19,91.141165
ENSG00000005882.12,13.962219999999999
ENSG00000005884.18,4.979067
ENSG00000005889.16,60.786771
ENSG00000005893.17,46.687256
ENSG00000005961.19,0.908439
ENSG00000005981.13,0.133058
ENSG00000006007.12,19.660743999999998
ENSG00000006015.18,17.601767
ENSG00000006016.12,1.906701
ENSG00000006025.13,2.5727029999999997
ENSG00000006042.12,0.0
ENSG00000006047.13,0.670732
ENSG00000006059.4,0.0
ENSG00000006062.18,11.038834
ENSG00000006071.16,0.180775
ENSG00000006116.4,0.0
ENSG00000006118.15,3.974527
ENSG00000006125.18,32.541456000000004
ENSG00000006128.12,0.0
ENSG00000006194.12,9.678493
ENSG00000006210.7,0.181303
ENSG00000006282.22,3.984521
ENSG00000006283.18,0.0
ENSG00000006327.14,0.329717
ENSG00000006377.11,0.0
ENSG00000006432.16,1.210287
ENSG00000006451.8,23.331576
ENSG00000006453.14,3.425479
ENSG00000006459.11,23.577555
ENSG00000006468.15,0.165085
ENSG00000006530.18,21.003863
ENSG00000006534.17,7.087739
ENSG00000006555.11,3.0504860000000003
ENSG00000006576.17,22.622912999999997
ENSG00000006606.9,0.0
ENSG00000006607.14,8.452478
ENSG00000006611.17,0.0
ENSG00000006625.18,3.115121
ENSG00000006634.8,11.38788
ENSG00000006638.13,3.680255
ENSG00000006652.15,83.862843
ENSG00000006659.13,0.0
ENSG00000006695.12,12.886406000000001
ENSG00000006704.11,0.371613
ENSG00000006712.15,18.040745
ENSG00000006715.16,14.243814
ENSG00000006740.18,1.399761
ENSG00000006744.19,30.482895
ENSG00000006747.15,0.146912
ENSG00000006756.16,0.960397
ENSG00000006757.12,9.303265
ENSG00000006788.14,0.222475
ENSG00000006831.10,22.696816
ENSG00000006837.12,0.517749
ENSG00000007001.14,0.0
ENSG00000007038.11,0.0
ENSG00000007047.16,7.057424
ENSG00000007062.12,0.0
ENSG00000007080.11,3.200736
ENSG00000007129.18,23.974487
ENSG00000007168.15,53.861284
ENSG00000007171.19,0.097515
ENSG00000007174.18,0.324918
ENSG00000007202.16,45.918515
ENSG00000007216.16,0.0
ENSG00000007237.19,16.114771
ENSG00000007255.10,5.088765
ENSG00000007264.15,4.1311860000000005
ENSG00000007306.15,0.0
ENSG00000007312.14,46.407528
ENSG00000007314.12,0.062212
ENSG00000007341.19,14.664000999999999
ENSG00000007350.18,2.70384
ENSG00000007372.25,0.0
ENSG00000007376.8,8.784358000000001
ENSG00000007384.15,0.725033
ENSG00000007392.17,43.004217
ENSG00000007402.12,0.280828
ENSG00000007516.15,1.084501
ENSG00000007520.4,6.382654
ENSG00000007541.17,10.765849
